类型,ID,人物,位置,内容,跳转,效果,目标
#,36,尼安德,左,妮娜·奥蜜可？,37,,
#,37,尼安德,左,（等一下，这名字我是不是在哪听过，妮娜·奥蜜可，妮娜……）,38,,
#,38,尼安德,左,（我突然想起了“每日热点”的事件，上面好像是有提到过这个名字的）,39,,
&,39,尼安德,左,是那个世界著名舞蹈家？！,41,,
&,40,尼安德,左,是那个表演《金弦》的舞者？,46,,
#,41,妮娜,左,曾经……是的。,42,,
#,42,尼安德,左,我还去现场看过你的演出来着，不得不说，真的非常精彩，连我这种没有艺术细胞的人看了都心神摇荡。,43,,
#,43,妮娜,左,谢谢你。但那已经是过去式了。,44,,
#,44,尼安德,左,过去式？发生什么事了吗？,45,,
#,45,妮娜,左,只是一次演出事故而已。,49,,
#,46,妮娜,左,你也知道了啊，那场演出事故。,47,,
#,47,尼安德,左,我很遗憾。,48,,
#,48,妮娜,左,好事不出门，坏事传千里。,49,,
#,49,尼安德,左,你似乎并不打算回避这个问题。,50,,
#,50,妮娜,左,也没什么好回避的，我的丑闻早就传遍大街小巷了。,51,,
#,51,尼安德,左,（眼前的舞者，情绪并不如她表现出来的那样云淡风轻，她将视线移向了窗外。）,52,,
#,52,尼安德,左,（雨一直在下。）,53,,
#,53,尼安德,左,那么，现在说说你的情况吧。,54,,
#,54,妮娜,左,我是曼庚城市芭蕾舞团的首席，24岁出演了舞剧《银月》和《玛丽安》。运气使然吧，我凭借这两部作品，一下子成为了世界级的舞者。,55,,
#,55,妮娜,左,去年年底，团里收到了邀请，文化部门的人请我们在春天的国庆日晚会上，到曼庚市中心的金色大厅去演出。我们要在那儿表演《玛丽安》。团里接受邀请后不久，我收到了晚会导演的邀请，表演个人节目。,56,,
#,56,妮娜,左,在国庆日的金色大厅独舞，即便是对我来说，也是千载难逢的机会啊。,57,,
#,57,妮娜,左,思前想后，我决定准备一支新的作品，在国庆日的金色大厅上亮相。不出意外的话，它会是全新的代表作吧。,58,,
#,58,妮娜,左,我给这个作品起名为《金弦》。,59,,
#,59,尼安德,左,就是国庆日第二天新闻晨版头条那个……,60,,
#,60,尼安德,左,（妮娜点了点头）,61,,
#,61,妮娜,左,春天开始，《金弦》的编舞已经差不多了，我开始排练，从那开始，噩梦就开始了。一开始只是几个动作出错，渐渐地手脚就完全不听使唤，想伸出左手，右手却举了起来；想扬起左脚，仰头看到的却是右脚。,62,,
#,62,尼安德,左,听起来像是压力、焦虑导致的躯体化症状？,63,,
#,63,妮娜,左,曼庚市综合医院的教授也是这么说的。,64,,
#,64,妮娜,左,可是，不是这样的。无论私下里《金弦》的排练有多糟糕，只要回到团里排练《玛丽安》，一切就会恢复正常，每个动作还是臻于完美，指导的称赞一如既往。就像是施过魔法一样。,65,,
#,65,尼安德,左,既然《金弦》的排练让你焦虑，你确实应该换一个节目的。,66,,
#,66,妮娜,左,不可以！它是我的心血啊！,67,,
#,67,妮娜,左,……它就像是我的孩子一样了。,68,,
#,68,妮娜,左,演出的前一周，我每天晚上都会做梦。,69,,
#,69,尼安德,左,你做了什么梦？麻烦尽可能说得清楚些，它可能对入梦治疗有帮助。,70,,
#,70,妮娜,左,我梦到自己在金色大厅的舞台上，一个人独舞，我重复《金弦》的舞步，一遍又一遍，每一遍都特别好。白天的排练就算一塌糊涂，到了晚上的梦境里，就会变得完美。我开始感受梦里的自己。,71,,
#,71,妮娜,左,我大概是疯了吧，居然因此觉得大功告成，直到最后一刻也没有把节目换掉。,72,,
#,72,妮娜,左,直到，在金色大厅的舞台上……,73,,
#,73,尼安德,左,（妮娜又把视线移向窗外了。雨声很大，我听不见她的声音了，飞行汽车一闪而过的车灯照见她眼里的波光。）,74,,
#,74,尼安德,左,情况我大概了解了，根据你的情况，我需要安排入梦诊断。,75,,
#,75,尼安德,左,准备好后，请你戴好头上的入梦装置，并保持放松。过程中可能会进入到睡眠状态，并失去意识，这是正常情况，请不必担心。,76,,
#,76,尼安德,左,（设备调试中……）,77,,
#,77,尼安德,左,（设备检测无异常。即将启动入梦系统）,78,,
END,78,,,,,,
